name,is.nbreak,is.tfirst,is.tfirst.pknown,is.tfirst.pknown.offs,is.tfirst.offs,is.tfirst.big,is.slope.ma,is.slope.ma.prop,is.slope.ma.prop.lev,is.intlev.initlev,is.intlev.finallev,is.intlev.levd,is.intlev.levdprop
A81001,2,45.0,45.0,,,45.0,-0.3771085807014021,-1.01462828464027,1.0006521684699599,0.748780242540696,0.371917439876692,0.37686280266400396,0.503302279164399
A81002,2,49.0,49.0,,,49.0,-0.197572778354732,-0.435619324850678,0.595645416935929,0.651117346017005,0.31942205761695297,0.331695288400052,0.509424745676164
A81003,0,,,,,,,,,,,,
A81004,2,48.0,48.0,,,48.0,-0.111683300696678,-0.201516414241131,0.5780836583908741,0.6658977110575159,0.27950622921713797,0.38639148184037797,0.580256510007742
A81005,2,47.0,47.0,47.0,47.0,47.0,-0.0627057567910625,-0.125461117540595,0.609688542760254,0.562508070211179,0.253961562970743,0.30854650724043603,0.548519254354164
A81006,2,47.0,47.0,47.0,47.0,47.0,-0.0388132864263654,-0.0792183930981734,0.5805531369212471,0.528766249474543,0.39505484923236206,0.133711400242181,0.252874309536692
A81007,2,49.0,49.0,49.0,49.0,49.0,-0.171028872078611,-0.336784319779899,0.840841820651382,0.678857954472901,0.272054039924219,0.406803914548682,0.59924747418559
A81008,2,38.0,38.0,38.0,38.0,38.0,-0.0706989030318128,-0.114006732527787,0.682697971901066,0.690828095968564,0.479442888930858,0.21138520703770605,0.305988144187067
A81009,2,47.0,47.0,,,47.0,-0.20501671282832898,-0.40417833367510797,0.7509870462393341,0.712259916500716,0.166267242312854,0.5459926741878629,0.766563808434268
A81011,2,48.0,48.0,,,48.0,-0.0960882288918898,-0.17123712140272201,0.6248227048727679,0.6572295754922329,0.34965999409728005,0.307569581394953,0.467978911576823
A81012,0,,,,,,,,,,,,
A81013,4,25.0,25.0,25.0,25.0,49.0,-0.264635522922495,-0.380050703834284,0.6498508807338089,0.723044705779223,0.31581970883274,0.40722499694648295,0.563208600646094
A81014,1,42.0,42.0,42.0,42.0,42.0,-0.0194617470356774,-0.0295259145412218,0.55,0.678602956988934,0.28936801627538694,0.38923494071354703,0.573582735979582
A81015,2,50.0,50.0,50.0,50.0,50.0,-0.434769412304959,-1.90627752280876,0.957900895121021,0.662841876625032,0.21070171392576198,0.45214016269927004,0.682123714031792
A81016,2,22.0,22.0,,,22.0,-0.00452657939387994,-0.00679633500281315,0.525,0.670558991275621,0.48949581552042404,0.181063175755198,0.270018265523152
A81017,2,47.0,47.0,47.0,47.0,47.0,-0.0633373208192877,-0.10036787755360302,0.587036516839963,0.6943890314172501,0.370709060909276,0.323679970507974,0.46613635276948795
A81018,2,47.0,47.0,47.0,47.0,47.0,-0.103246175074277,-0.16677466624398302,0.6735299600993728,0.722322065912716,0.26244864739821805,0.459873418514497,0.6366597951474849
