"","name","is.nbreak","is.tfirstneg","is.tfirstneg.pknown","is.tfirstneg.pknown.offs","is.tfirstneg.offs","is.tfirstneg.big","is.slope.ma","is.slope.ma.prop","is.slope.ma.prop.lev","is.intlev.initlev","is.intlev.finallev","is.intlev.levd","is.intlev.levdprop"
"1","ratio_quantity.D83019",1,33,33,NA,NA,33,-0.0131342138754256,-0.0172039454289657,0.517241379310345,0.776576177212042,0.395683974824699,0.380892202387343,0.49047629011074
"2","ratio_quantity.D83020",1,47,47,NA,NA,47,-0.0206552083552655,-0.0331701471495772,0.533333333333333,0.643359963390661,0.333531838061679,0.309828125328983,0.481578187887406
"3","ratio_quantity.D83021",1,50,50,NA,NA,50,-0.0313236452083205,-0.0476089618068079,0.583333333333333,0.689259546760396,0.31337580426055,0.375883742499846,0.545344267288781
"4","ratio_quantity.D83022",2,42,42,42,42,42,-0.0522060287636204,-0.0911034315552285,0.608621819821528,0.625247327783979,0.282137520916198,0.343109806867781,0.548758533817076
"5","ratio_quantity.D83023",3,5,5,43,43,43,-0.01384399207453,-0.0193189567689416,0.542161860399003,0.721354995111653,0.440472247830691,0.280882747280962,0.389382133879154
"6","ratio_quantity.D83024",1,31,31,31,31,31,-0.00937032988948779,-0.0135748801187435,0.516129032258065,0.699640137616901,0.409159911042779,0.290480226574122,0.415185194439457
"7","ratio_quantity.D83026",2,28,28,28,28,28,-0.00798084342567579,-0.0103870195680792,0.529411764705882,0.776328623399258,0.504979946926281,0.271348676472977,0.349528109996564
"8","ratio_quantity.D83027",1,48,48,48,48,48,-0.0313469309123293,-0.0475767729797934,0.571428571428571,0.690217403813944,0.251360371041334,0.43885703277261,0.635824350918437
"9","ratio_quantity.D83028",2,45,45,45,45,45,-0.152245541408027,-0.282337543654156,0.920379665328373,0.691477906461529,0.360645865852052,0.330832040609477,0.478441953846986
"10","ratio_quantity.D83029",3,17,17,17,17,52,-0.0388591749716802,-0.0520604993115815,0.566005899490616,0.749051794034568,0.268466300055505,0.480585493979063,0.641591806876954
"11","ratio_quantity.D83030",1,30,30,30,30,30,-0.00715984678996009,-0.0105104642650888,0.53125,0.688371124368057,0.459256027089334,0.229115097278723,0.3328365894038
"12","ratio_quantity.D83033",1,49,49,49,49,49,-0.0191119661491752,-0.0289566333447941,0.538461538461539,0.67913227726767,0.430676717328392,0.248455559939277,0.365842661666561
"13","ratio_quantity.D83034",1,38,38,38,38,38,-0.00974846139039537,-0.0137904298966341,0.541666666666667,0.716648932475398,0.482685859105909,0.233963073369489,0.32646818095626
"14","ratio_quantity.D83035",1,35,35,35,35,35,-0.00460997894495402,-0.00703792703299218,0.518518518518519,0.659629407726114,0.535159976212356,0.124469431513759,0.188696001202905
"15","ratio_quantity.D83036",2,16,16,16,16,16,-0.0100683820399678,-0.0118323137881368,0.521739130434783,0.860990882934294,0.397845309095775,0.463145573838519,0.537921577357589
"16","ratio_quantity.D83037",2,46,46,46,46,46,-0.11039404277778,-0.185230699592418,0.592017115737927,0.706375394792815,0.333433329966942,0.372942064825873,0.527965820405253
"17","ratio_quantity.D83038",1,52,52,NA,NA,52,-0.0501642388324734,-0.0770508193585798,0.6,0.701218169862312,0.199575781537578,0.501642388324734,0.715387036281781
"18","ratio_quantity.D83039",2,48,48,48,48,48,-0.0656278455168424,-0.10137948141244,0.591443890093141,0.7129762497748,0.269127921193658,0.443848328581142,0.622528911336578
"19","ratio_quantity.D83040",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","ratio_quantity.D83041",2,52,52,52,52,52,-0.202307575845052,-0.413384227862762,0.55095581873392,0.691701128402688,0.324507300937631,0.367193827465057,0.530856192634816
"21","ratio_quantity.D83043",2,47,47,NA,NA,47,-0.0888455103540521,-0.125508956448899,0.660390105450121,0.796727344988103,0.258587784017576,0.538139560970527,0.675437543791801
"22","ratio_quantity.D83044",1,46,46,46,46,46,-0.0257237790965818,-0.037997837421359,0.5625,0.702703861182047,0.291123395636738,0.411580465545308,0.585709696902721
"23","ratio_quantity.D83045",1,53,53,NA,NA,53,-0.0365233591049404,-0.0556527310072507,0.555555555555556,0.692795898545672,0.364085666601209,0.328710231944463,0.474469079038281
"24","ratio_quantity.D83046",1,43,43,43,43,43,-0.023511690154968,-0.0352552164133906,0.526315789473684,0.6904113023791,0.243689189434707,0.446722112944392,0.647037659153356
"25","ratio_quantity.D83047",1,32,32,NA,NA,32,-0.0101829777938925,-0.0151358739944132,0.533333333333333,0.682954024754985,0.37746469093821,0.305489333816776,0.447305854777519
"26","ratio_quantity.D83048",2,47,47,47,47,47,-0.0508271280551188,-0.0797856283236282,0.69114115351876,0.687873286906594,0.540791528581696,0.147081758324898,0.213821006171548
"27","ratio_quantity.D83049",2,48,48,NA,NA,48,-0.0871309964854579,-0.124580927025683,0.665154093398284,0.786523741150902,0.262548936814637,0.523974804336265,0.666190703372214
"28","ratio_quantity.D83050",1,43,43,43,43,43,-0.0230585113723439,-0.0328456474483052,0.526315789473684,0.725084903412114,0.286973187337578,0.438111716074535,0.604221262934676
"29","ratio_quantity.D83051",1,50,50,50,50,50,-0.0309601015436162,-0.0423380909601467,0.583333333333333,0.7622189004526,0.390697681929206,0.371521218523394,0.487420632449271
"30","ratio_quantity.D83053",2,37,37,37,37,37,-0.0266386251289573,-0.0317934382639691,0.52,0.864504127682872,0.198538499458938,0.665965628223934,0.770344069968665
"31","ratio_quantity.D83054",4,13,13,40,40,40,-0.051519531726822,-0.0627713693299643,0.512488270887673,0.834096192724696,0.331455111421647,0.502641081303049,0.602617642530053
"32","ratio_quantity.D83055",1,53,53,53,53,53,-0.0376656820602484,-0.0630226029923819,0.555555555555556,0.635319226532243,0.296328087990008,0.338991138542236,0.533576073862187
"33","ratio_quantity.D83056",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","ratio_quantity.D83057",2,54,54,NA,NA,54,-0.217249056049937,-0.498169665610969,0.624119691885722,0.653343565705593,0.305254795435361,0.348088770270233,0.5327805897871
"35","ratio_quantity.D83058",1,46,46,46,46,46,-0.035333482540615,-0.0508133038162666,0.5625,0.730692372574132,0.165356651924292,0.56533572064984,0.773698675214355
"36","ratio_quantity.D83059",2,47,47,NA,NA,47,-0.241279200958633,-0.554894344578142,0.75165661356739,0.67609927673732,0.355102698507917,0.320996578229403,0.474777283860514
"37","ratio_quantity.D83060",1,30,30,30,30,30,-0.00493844179317598,-0.00771022806340209,0.53125,0.645443722903748,0.487413585522117,0.158030137381631,0.244839529418117
"38","ratio_quantity.D83061",2,50,50,NA,NA,50,-0.383030977073906,-1.49206526614058,1.15691055226214,0.63974292243315,0.308662030894082,0.331080891539068,0.51752177308951
"39","ratio_quantity.D83062",1,54,54,NA,NA,54,-0.0492637311449818,-0.0752807210874639,0.625,0.703664093327291,0.309554244167437,0.394109849159854,0.560082364436556
"40","ratio_quantity.D83064",1,53,53,53,53,53,-0.0347720028012272,-0.0655503640273943,0.555555555555555,0.565234393318167,0.252286368107122,0.312948025211045,0.553660620992835
"41","ratio_quantity.D83067",1,37,37,37,37,37,-0.0150899659869425,-0.0256034288267471,0.52,0.60446282260912,0.227213672935557,0.377249149673563,0.624106455456093
"42","ratio_quantity.D83069",1,8,8,8,8,8,-0.00651368553983653,-0.00826491347292759,0.518518518518518,0.79462665988284,0.442887640731668,0.351739019151173,0.442646889298973
"43","ratio_quantity.D83070",1,54,54,54,54,54,-0.0499932818772269,-0.0808385331574435,0.625,0.668427089673548,0.268480834655732,0.399946255017815,0.598339386892809
"44","ratio_quantity.D83073",1,34,34,34,34,34,-0.011656107015219,-0.0138011484272372,0.535714285714286,0.85623125789289,0.529860261466759,0.326370996426131,0.381171550813621
"45","ratio_quantity.D83074",2,33,33,NA,NA,33,-0.0186171982766191,-0.0269093805892685,0.517241379310345,0.710465091796833,0.170566341774878,0.539898750021955,0.759922980390916
"46","ratio_quantity.D83075",2,27,27,27,27,27,-0.0100573382943045,-0.0125607658078091,0.514285714285714,0.810752013140625,0.458745172839968,0.352006840300657,0.434173254701005
"47","ratio_quantity.D83076",1,40,40,40,40,40,-0.0189979295534564,-0.0242410537244446,0.545454545454545,0.802706829727995,0.384752379551954,0.41795445017604,0.520681318131638
"48","ratio_quantity.D83078",1,54,54,54,54,54,-0.0494955950648723,-0.0806582880964061,0.625,0.66314108932224,0.267176328803262,0.395964760518978,0.597104849774385
"49","ratio_quantity.D83079",3,16,16,NA,NA,50,-0.181821224348325,-0.242603067276923,0.765759145864599,0.753658142458217,0.278779780690732,0.474878361767485,0.630097832179677
"50","ratio_quantity.D83080",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","ratio_quantity.D83081",2,45,45,45,45,45,-0.0645356591876615,-0.115412426228,0.534367642328078,0.765408147978592,0.282327556448018,0.483080591530574,0.631141166717872
"52","ratio_quantity.D83082",1,42,42,42,42,42,-0.0251987165257611,-0.034344805234879,0.55,0.758896763535514,0.254922433020293,0.503974330515221,0.664088127306445
"53","ratio_quantity.D83084",2,22,22,22,22,22,-0.0042895064701518,-0.0061154652063954,0.525,0.705708993848796,0.534128735042724,0.171580258806072,0.243131744531563
"54","ratio_quantity.D83608",3,16,16,NA,NA,43,-0.0492576969423359,-0.0677549880736838,0.583904886254903,0.733113904147683,0.22695923990157,0.506154664246113,0.690417493628862
"55","ratio_quantity.D83610",1,48,48,48,48,48,-0.0258779082586461,-0.0362013341119437,0.571428571428571,0.740710908021172,0.378420192400126,0.362290715621046,0.489112164675575
"56","ratio_quantity.D83615",1,54,54,54,54,54,-0.0492837375833585,-0.0750707043510902,0.625,0.705781342199782,0.311511441532914,0.394269900666868,0.558628964939773
"57","ratio_quantity.E81001",1,15,15,15,15,15,-0.0107496512222311,-0.0142398018802473,0.51063829787234,0.765651391613892,0.26041778416903,0.505233607444862,0.659874210350348
"58","ratio_quantity.E81002",1,28,28,28,28,28,-0.00492522519057551,-0.0121017723958992,0.529411764705882,0.411909014791878,0.244451358312311,0.167457656479567,0.406540402045284
"59","ratio_quantity.E81003",1,31,31,31,31,31,-0.0121921699005349,-0.0224762873038776,0.516129032258065,0.554638070137424,0.176680803220844,0.377957266916581,0.681448474719619
"60","ratio_quantity.E81004",1,2,2,2,2,2,-0.00338798232560397,-0.00762655645817846,0.516666666666667,0.447622853486994,0.244343913950755,0.203278939536238,0.454129939864978
"61","ratio_quantity.E81005",2,29,29,29,29,29,-0.00738406952750429,-0.0124157001736669,0.515151515151515,0.60212052612828,0.358446231720638,0.243674294407642,0.404693551928053
"62","ratio_quantity.E81006",2,33,33,33,33,33,-0.0153604685176146,-0.0241649990248737,0.517241379310345,0.651009925892046,0.205556338881221,0.445453587010824,0.684250069460066
"63","ratio_quantity.E81007",2,42,42,42,42,42,-0.0256737151583191,-0.0401524637045412,0.55,0.665079439978525,0.151605136812142,0.513474303166383,0.772049581299585
"64","ratio_quantity.E81008",2,13,13,13,13,13,-0.00789426749315078,-0.0145717134634854,0.510204081632653,0.549647130870041,0.162828023705653,0.386819107164388,0.703758985427776
"65","ratio_quantity.E81009",2,40,40,40,40,40,-0.0389226181550945,-0.0834492671979187,0.545212181650686,0.505345146022005,0.219785729229429,0.285559416792576,0.565077984898942
"66","ratio_quantity.E81010",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","ratio_quantity.E81011",1,35,35,35,35,35,-0.0139578419598692,-0.0273714508579867,0.518518518518518,0.523899460776048,0.147037727859579,0.376861732916469,0.7193397992016
"68","ratio_quantity.E81012",1,47,47,47,47,47,-0.0159857493872956,-0.039556621685466,0.533333333333333,0.420108970890034,0.1803227300806,0.239786240809434,0.570771531732417
"69","ratio_quantity.E81013",1,8,8,8,8,8,-0.00598236458577233,-0.0111523423675325,0.518518518518518,0.542404614604624,0.219356926972918,0.323047687631706,0.59558432751754
"70","ratio_quantity.E81014",3,2,2,36,36,36,-0.0162777992113072,-0.0298055645185321,0.51331120953621,0.559382623475698,0.115423511099788,0.44395911237591,0.793659105135212
"71","ratio_quantity.E81015",2,30,30,30,30,30,-0.00879543506556857,-0.0180062762298819,0.53125,0.497260398797066,0.215806476698872,0.281453922098194,0.566009122743467
"72","ratio_quantity.E81016",1,37,37,37,37,37,-0.016954534142902,-0.0257028029220988,0.52,0.676592091738803,0.252728738166253,0.42386335357255,0.626468087268425
"73","ratio_quantity.E81017",1,35,35,NA,NA,35,-0.0070168882111865,-0.0185199596876393,0.518518518518518,0.385899365793995,0.19644338409196,0.189455981702036,0.490946600319558
"74","ratio_quantity.E81018",1,Inf,Inf,Inf,Inf,NA,NA,NA,NA,NA,0.449586051220473,NA,NA
"75","ratio_quantity.E81019",1,5,5,5,5,5,-0.00334174292278008,-0.00766298544897695,0.508771929824561,0.439430646527082,0.248951299928617,0.190479346598464,0.433468507724404
"76","ratio_quantity.E81021",1,23,23,23,23,23,-0.00586418930061412,-0.0125389366456466,0.512820512820513,0.473542547229803,0.244839164505853,0.228703382723951,0.482962690600564
"77","ratio_quantity.E81022",1,44,44,44,44,44,-0.00847805470377614,-0.0276005862597778,0.555555555555556,0.315647425092519,0.163042440424548,0.15260498466797,0.483466591318592
"78","ratio_quantity.E81023",1,39,39,39,39,39,-0.0217786198882659,-0.0367437248671992,0.521739130434783,0.614495334564831,0.113587077134715,0.500908257430116,0.81515388198162
"79","ratio_quantity.E81024",1,35,35,35,35,35,-0.00863606894810031,-0.0172700211208936,0.518518518518518,0.508697353624368,0.27552349202566,0.233173861598708,0.458374434105841
"80","ratio_quantity.E81025",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","ratio_quantity.E81026",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","ratio_quantity.E81027",2,43,43,43,43,43,-0.119718362752801,-0.273150394638375,0.59096152754079,0.558005713248107,0.15284105472628,0.405164658521827,0.726094104240252
"83","ratio_quantity.E81028",1,36,36,36,36,36,-0.0135649671977881,-0.0235936948329815,0.538461538461538,0.588505318584622,0.23581617144213,0.352689147142491,0.599296448145486
"84","ratio_quantity.E81029",2,34,34,34,34,34,-0.00832776406156049,-0.021249391080055,0.535714285714286,0.400233773517853,0.167056379794159,0.233177393723694,0.582602991432188
"85","ratio_quantity.E81030",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","ratio_quantity.E81031",1,19,19,19,19,19,-0.00715401553984836,-0.0120152349994309,0.511627906976744,0.602566052024128,0.294943383810649,0.307622668213479,0.510521074295705
"87","ratio_quantity.E81032",2,31,31,31,31,31,-0.00798643907073031,-0.0140460737099082,0.516129032258065,0.576575158998679,0.328995547806039,0.24757961119264,0.42939694388257
"88","ratio_quantity.E81033",1,25,25,25,25,25,-0.0035109310899759,-0.00958230980074295,0.513513513513514,0.369908090332697,0.240003640003588,0.129904450329108,0.351180343777482
